ts_date,city_name,house_room,est_price,chg,acum12m
2019-03-01,bhe,city,null,null,null
2019-04-01,bhe,city,null,null,null
2019-05-01,bhe,city,19.1577987758467,null,null
2019-06-01,bhe,city,19.0974149350998,-0.00315191956306338,null
2019-07-01,bhe,city,19.0619025088958,-0.00185954100723928,null
2019-08-01,bhe,city,19.0450419521185,-0.00088451594846683,null
2019-09-01,bhe,city,19.1266343445122,0.0042841802396012,null
2019-10-01,bhe,city,19.1938602075457,0.00351477744712847,null
2019-11-01,bhe,city,19.2479899195916,0.0028201576681568,null
2019-12-01,bhe,city,19.2759500470034,0.00145262583410766,null
2020-01-01,bhe,city,19.4167528032716,0.00730458192332062,null
2020-02-01,bhe,city,19.6660753309468,0.0128405882384819,null
2020-03-01,bhe,city,20.0963358624075,0.0218783119773622,null
2020-04-01,bhe,city,20.4263876136874,0.0164234790630311,null
2020-05-01,bhe,city,20.5035218348168,0.00377620471070173,0.0702441378947369
2020-06-01,bhe,city,20.435091787315,-0.00333747772958959,0.0700449174278872
2020-07-01,bhe,city,20.5133160770793,0.00382793924189317,0.076142114749892
2020-08-01,bhe,city,20.7813404950228,0.0130658747194423,0.0911680083073341
2020-09-01,bhe,city,21.0439506356087,0.0126368239165735,0.100243265833475
2020-10-01,bhe,city,21.1916034925452,0.00701640388219516,0.104082412990278
2020-11-01,bhe,city,21.4189500385924,0.0107281426876067,0.112788926431798
2020-12-01,bhe,city,21.5632152886138,0.00673540251793203,0.118659014784381
2021-01-01,bhe,city,21.707390738865,0.0066861758936021,0.117972245864278
2021-02-01,bhe,city,21.8373129450713,0.0059851599747367,0.110405232238067
2021-03-01,bhe,city,22.0574626738458,0.0100813561324293,0.0975862876130975
2021-04-01,bhe,city,22.1492068540138,0.00415932609858882,0.0843428252175118
2021-05-01,bhe,city,22.2174230744898,0.00307984935648475,0.083590577925134
2021-06-01,bhe,city,22.1849914137343,-0.00145973998184679,0.0856320903586843
2021-07-01,bhe,city,22.3125542444806,0.00574996078958456,0.0877107416782625
2021-08-01,bhe,city,22.3573186130355,0.00200624133232008,0.075836210777172
2021-09-01,bhe,city,22.5329025952652,0.007853534910369,0.0707543932904409
2021-10-01,bhe,city,22.786353359989,0.0112480300153193,0.0752538555189979
2021-11-01,bhe,city,23.0542377726789,0.0117563529564251,0.0763477075739047
2021-12-01,bhe,city,23.3294503239388,0.0119376122504511,0.0819096322920692
2022-01-01,bhe,city,23.6353479046718,0.0131120783595589,0.0888157028635821
2022-02-01,bhe,city,24.2430717961777,0.025712500359929,0.110167347839808
2022-03-01,bhe,city,24.9616112654516,0.0296389614036949,0.13166285871354
2022-04-01,bhe,city,25.5131693414519,0.0220962529275393,0.151877334010653
2022-05-01,bhe,city,25.9302568030424,0.0163479282408401,0.167113607915028
2022-06-01,bhe,city,26.3453288104783,0.0160072463064549,0.187529367001168
2022-07-01,bhe,city,26.6614534298526,0.0119992664220812,0.194908173117282
2022-08-01,bhe,city,27.0151319848795,0.0132655391784069,0.208335062556575
2022-09-01,bhe,city,27.1953969182551,0.00667273931796597,0.20691938392214
2022-10-01,bhe,city,27.379459426457,0.00676814935833336,0.201572669128053
2022-11-01,bhe,city,27.3146320388736,-0.00236773803944279,0.184798747553633
2022-12-01,bhe,city,27.4529645171094,0.00506440936267794,0.176751450887779
2023-01-01,bhe,city,28.378391109077,0.0337095322215908,0.200675836189735
2023-02-01,bhe,city,29.6927793103501,0.0463165158384409,0.224794430342431
2023-03-01,bhe,city,31.0313088968599,0.0450792959634896,0.243161291427096
